Lineage,Count
Equidae > Equus,1
Mus > Mus,22
Dictyosteliaceae > Dictyostelium,25
Drosophila > Sophophora,4
Ustilaginaceae > Ustilago,1
Felinae > Felis,2
Saccharomycetaceae > Saccharomyces,5
Mycobacterium > Mycobacterium tuberculosis complex,2
Murinae > Rattus,12
Phasianinae > Gallus,3
Danioninae > Danio,4
Peloderinae > Caenorhabditis,4
Crotalinae > Crotalus,1
Xenopus > Silurana,2
Oryza > Oryza sativa,7
Vibrionaceae > Vibrio,2
Xenopus > Xenopus,5
Hominidae > Homo,30
Candidatus Phytoplasma > 16SrV (Elm yellows group),3
Mupapillomavirus > Mupapillomavirus 1,1
Paracoccaceae > Cereibacter,1
Enterobacteriaceae > Escherichia,2
Ralstonia > Ralstonia solanacearum species complex,1
Hominidae > Pongo,1
Oweniidae > Owenia,1
Plasmodium > Plasmodium (Laverania),1
Suidae > Sus,3
Daucus > Daucus sect. Daucus,2
Thermococcaceae > Pyrococcus,1
Camelineae > Arabidopsis,5
Eptatretinae > Eptatretus,1
Myocastoridae > Myocastor,2
Polistini > Polistes,3
Arthrodermataceae > Trichophyton,2
Pichiaceae > Ogataea,1
Candidatus Korobacteraceae > Candidatus Korobacter,1
Caprinae > Ovis,1
Bovinae > Bos,7
Cercopithecinae > Chlorocebus,1
Peronosporaceae > Plasmopara,1
Leporidae > Oryctolagus,3
Strongylocentrotidae > Strongylocentrotus,1
Sicariidae > Loxosceles,2
Polyphysaceae > Acetabularia,1
Cercopithecinae > Papio,1
Pectinidae > Mizuhopecten,1
Vespinae > Vespula,1
Cercopithecinae > Macaca,1
Hominidae > Pan,1
Cricetinae > Cricetulus,1
Hordeinae > Hordeum,1
Caviidae > Cavia,3
Pteriidae > Pinctada,1
Anelloviridae > Alphatorquevirus,1
Prochlorococcaceae > Prochlorococcus,2
Schistosomatidae > Schistosoma,2
Mustelinae > Neogale,1
Aspergillus > Aspergillus subgen. Fumigati,1
Chromatiaceae > Allochromatium,1
Frankiaceae > Frankia,1
Epiponini > Polybia,1
Rhizophydiales incertae sedis > Batrachochytrium,1
Aeromonadaceae > Aeromonas,1
Marmotini > Ictidomys,1
Lottiidae > Lottia,2
Cebinae > Cebus,1
Tripsacinae > Zea,1
Saccharomycetaceae > Kluyveromyces,1
Lysobacteraceae > Xanthomonas,1
Solanum > Solanum subgen. Lycopersicon,1
Pyriculariaceae > Pyricularia,1
Bombycinae > Bombyx,1
Canidae > Canis,1
Synechococcaceae > Synechococcus,1
Anaeromyxobacteraceae > Anaeromyxobacter,1
