taxon,count,relative_frequency
Eukaryota,57,100.0
Metazoa,56,98.24561403508771
Chordata,56,98.24561403508771
Craniata,56,98.24561403508771
Vertebrata,56,98.24561403508771
Euteleostomi,56,98.24561403508771
Amphibia,3,5.263157894736842
Batrachia,3,5.263157894736842
Anura,3,5.263157894736842
Pipoidea,3,5.263157894736842
Pipidae,3,5.263157894736842
Xenopodinae,3,5.263157894736842
Xenopus,5,8.771929824561402
Mammalia,49,85.96491228070175
Eutheria,49,85.96491228070175
Laurasiatheria,12,21.052631578947366
Artiodactyla,8,14.035087719298245
Ruminantia,5,8.771929824561402
Pecora,5,8.771929824561402
Bovidae,5,8.771929824561402
Caprinae,1,1.7543859649122806
Ovis,1,1.7543859649122806
Euarchontoglires,37,64.91228070175438
Glires,25,43.859649122807014
Rodentia,22,38.59649122807017
Myomorpha,16,28.07017543859649
Muroidea,16,28.07017543859649
Muridae,16,28.07017543859649
Murinae,16,28.07017543859649
Rattus,8,14.035087719298245
Primates,12,21.052631578947366
Haplorrhini,12,21.052631578947366
Catarrhini,12,21.052631578947366
Hominidae,11,19.298245614035086
Homo,10,17.543859649122805
Lagomorpha,3,5.263157894736842
Leporidae,3,5.263157894736842
Oryctolagus,3,5.263157894736842
Lepidosauria,1,1.7543859649122806
Squamata,1,1.7543859649122806
Bifurcata,1,1.7543859649122806
Unidentata,1,1.7543859649122806
Episquamata,1,1.7543859649122806
Toxicofera,1,1.7543859649122806
Serpentes,1,1.7543859649122806
Colubroidea,1,1.7543859649122806
Viperidae,1,1.7543859649122806
Crotalinae,1,1.7543859649122806
Crotalus,1,1.7543859649122806
Amoebozoa,1,1.7543859649122806
Evosea,1,1.7543859649122806
Eumycetozoa,1,1.7543859649122806
Dictyostelia,1,1.7543859649122806
Dictyosteliales,1,1.7543859649122806
Dictyosteliaceae,1,1.7543859649122806
Dictyostelium,1,1.7543859649122806
Mus,16,28.07017543859649
Suina,3,5.263157894736842
Suidae,3,5.263157894736842
Sus,3,5.263157894736842
Hystricomorpha,5,8.771929824561402
Caviidae,3,5.263157894736842
Cavia,3,5.263157894736842
Cercopithecidae,1,1.7543859649122806
Cercopithecinae,1,1.7543859649122806
Papio,1,1.7543859649122806
Bovinae,4,7.017543859649122
Bos,4,7.017543859649122
Myocastoridae,2,3.508771929824561
Myocastor,2,3.508771929824561
Perissodactyla,1,1.7543859649122806
Equidae,1,1.7543859649122806
Equus,1,1.7543859649122806
Sciuromorpha,1,1.7543859649122806
Sciuridae,1,1.7543859649122806
Xerinae,1,1.7543859649122806
Marmotini,1,1.7543859649122806
Ictidomys,1,1.7543859649122806
Carnivora,3,5.263157894736842
Caniformia,2,3.508771929824561
Canidae,1,1.7543859649122806
Canis,1,1.7543859649122806
Pongo,1,1.7543859649122806
Actinopterygii,2,3.508771929824561
Neopterygii,2,3.508771929824561
Teleostei,2,3.508771929824561
Ostariophysi,2,3.508771929824561
Cypriniformes,2,3.508771929824561
Danionidae,2,3.508771929824561
Danioninae,2,3.508771929824561
Danio,2,3.508771929824561
Silurana,1,1.7543859649122806
Musteloidea,1,1.7543859649122806
Mustelidae,1,1.7543859649122806
Mustelinae,1,1.7543859649122806
Neogale,1,1.7543859649122806
Feliformia,1,1.7543859649122806
Felidae,1,1.7543859649122806
Felinae,1,1.7543859649122806
Felis,1,1.7543859649122806
Archelosauria,1,1.7543859649122806
Archosauria,1,1.7543859649122806
Dinosauria,1,1.7543859649122806
Saurischia,1,1.7543859649122806
Theropoda,1,1.7543859649122806
Coelurosauria,1,1.7543859649122806
Aves,1,1.7543859649122806
Neognathae,1,1.7543859649122806
Galloanserae,1,1.7543859649122806
Galliformes,1,1.7543859649122806
Phasianidae,1,1.7543859649122806
Phasianinae,1,1.7543859649122806
Gallus,1,1.7543859649122806
